tribunal,grau,codigo_classe,codigo_formato,orgao_codigo,orgao_nome,data_julgamento,codigo_assunto,data_ajuizamento,tempo_julgamento,assunto_nivel1,assunto_nivel2,assunto_nivel3,assunto_nivel4,assunto_nivel5,classe_nivel1,classe_nivel2,classe_nivel3,classe_nivel4,classe_nivel5,numero_processo
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2004-06-14,10491,2002-06-27,718,899,10432.0,10488.0,10491.0,,2,158.0,1116.0,,,00018242720028230060
TJRR,G1,1116,1,2784,VARA CÍVEL 1º TITULAR,2010-09-29,11786,2002-06-27,3016,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00005844220028230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 2º TITULAR,2015-10-22,11786,2002-06-27,4865,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00005827220028230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 2º TITULAR,2020-03-02,11786,2002-06-27,6458,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00005280920028230047
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2010-05-27,10671,2002-06-27,2891,8826,9148.0,10671.0,,,2,158.0,1116.0,,,00009348820028230060
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 2º TITULAR,2015-10-22,11786,2002-06-27,4865,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00005861220028230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 2º TITULAR,2015-10-22,9606,2002-06-27,4865,899,7681.0,9580.0,9606.0,,2,158.0,1116.0,,,00005523720028230047
TJRR,G1,1116,1,2781,VARA DA FAZENDA PÚBLICA,2023-05-26,11786,2002-07-05,7630,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00018435620028230020
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-06-19,5952,2002-08-05,4701,14,5916.0,5952.0,,,2,158.0,1116.0,,,00461052420028230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-10-27,5951,2002-08-05,4831,14,5916.0,5951.0,,,2,158.0,1116.0,,,00461831820028230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-08-05,5951,2002-10-01,3230,14,5916.0,5951.0,,,2,158.0,1116.0,,,00521929320028230010
TJRR,G1,1116,1,2781,VARA DA FAZENDA PÚBLICA,2021-06-20,11786,2002-10-02,6836,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00018123620028230020
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2010-09-14,6026,2002-10-10,2896,14,6021.0,6026.0,,,2,158.0,1116.0,,,00009261420028230060
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2002-07-18,2945,14,5916.0,5946.0,,,2,158.0,1116.0,,,00431822520028230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,10395,2002-07-23,2940,9985,10394.0,10395.0,,,2,158.0,1116.0,,,00431459520028230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-10,5946,2002-07-31,3116,14,5916.0,5946.0,,,2,158.0,1116.0,,,00455787220028230010
TJRR,G1,1116,1,2785,VARA DA FAZENDA PÚBLICA,2017-11-10,11786,2002-11-13,5476,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00014839820028230060
TJRR,G1,1116,1,2784,VARA CÍVEL 2º TITULAR,2010-09-27,11786,2002-11-20,2868,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00011127620028230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2015-10-22,7703,2002-11-20,4719,899,7681.0,7690.0,7703.0,,2,158.0,1116.0,,,00011222320028230047
TJRR,G1,1116,1,2784,VARA DA FAZENDA PÚBLICA 1º TITULAR,2015-10-22,11786,2002-11-20,4719,8826,11781.0,11786.0,,,2,158.0,1116.0,,,00011188320028230047
